subject_name,course_name,course_url
Business Courses,"
                     Managing Project Risks and Changes
                   ",https://www.classcentral.com/course/projectrisks-2730
Business Courses,"
                     Organizational Analysis 
                   ",https://www.classcentral.com/course/organizational-analysis-459
Business Courses,"
                     How to Start a Startup
                   ",https://www.classcentral.com/course/independent-how-to-start-a-startup-2572
Business Courses,"
                     Project Management for Designers
                   ",https://www.classcentral.com/course/kadenze-project-management-for-designers-3750
Business Courses,"
                     Digital Branding and Engagement
                   ",https://www.classcentral.com/course/edx-digital-branding-and-engagement-4101
Business Courses,"
                     Analyzing and Visualizing Data with Excel
                   ",https://www.classcentral.com/course/edx-analyzing-and-visualizing-data-with-excel-4480
Business Courses,"
                     Starting a Business 2: People and Networks
                   ",https://www.classcentral.com/course/starting-a-business-2-5009
Business Courses,"
                     Advanced Competitive Strategy
                   ",https://www.classcentral.com/course/advcompstrategy-1856
Business Courses,"
                     Business Metrics for Data-Driven Companies
                   ",https://www.classcentral.com/course/analytics-business-metrics-4357
Business Courses,"
                     Foundations of strategic business analytics
                   ",https://www.classcentral.com/course/foundations-strategic-business-analytics-4371
Business Courses,"
                     Inspiring and Motivating Individuals
                   ",https://www.classcentral.com/course/motivate-people-teams-4183
Business Courses,"
                     Supply Chain Fundamentals
                   ",https://www.classcentral.com/course/edx-supply-chain-fundamentals-2140
Business Courses,"
                     Global Social Entrepreneurship
                   ",https://www.classcentral.com/course/independent-global-social-entrepreneurship-3905
Business Courses,"
                     Identifying Entrepreneurial Opportunities
                   ",https://www.classcentral.com/course/edx-identifying-entrepreneurial-opportunities-12828
Business Courses,"
                     Personal & Family Financial Planning
                   ",https://www.classcentral.com/course/uffinancialplanning-1811
Business Courses,"
                     Digital Marketing
                   ",https://www.classcentral.com/course/digital-marketing-18621
Business Courses,"
                     Banking & Financial Intermediation: Concepts, Risks, Capital & Regulation
                   ",https://www.classcentral.com/course/edx-banking-financial-intermediation-concepts-risks-capital-regulation-11717
Business Courses,"
                     Human Capital Strategy
                   ",https://www.classcentral.com/course/independent-human-capital-strategy-11964
Business Courses,"
                     Protecting Business Innovations via Strategy
                   ",https://www.classcentral.com/course/protect-business-innovations-strategy-10496
Business Courses,"
                     Social Impact: Planning for Success
                   ",https://www.classcentral.com/course/independent-social-impact-planning-for-success-11968
Business Courses,"
                     Análisis Multivariable en SPSS
                   ",https://www.classcentral.com/course/edx-analisis-multivariable-en-spss-17050
Business Courses,"
                     Starting a Business 5: Managing Finances
                   ",https://www.classcentral.com/course/starting-a-business-5-5012
Business Courses,"
                     Innovation for Entrepreneurs: From Idea to Marketplace
                   ",https://www.classcentral.com/course/innovative-2708
Business Courses,"
                     New Venture Finance: Startup Funding for Entrepreneurs
                   ",https://www.classcentral.com/course/venturefinance-2709
Business Courses,"
                     Essentials of Nonprofit Strategy
                   ",https://www.classcentral.com/course/independent-essentials-of-nonprofit-strategy-3906
Business Courses,"
                     Fundraising: Connecting with Donors
                   ",https://www.classcentral.com/course/independent-fundraising-connecting-with-donors-3910
Business Courses,"
                     Advocacy
                   ",https://www.classcentral.com/course/independent-advocacy-11967
Business Courses,"
                     Improving Your Business Through a Culture of Health
                   ",https://www.classcentral.com/course/edx-improving-your-business-through-a-culture-of-health-11363
Business Courses,"
                     Introduction to the Music Business
                   ",https://www.classcentral.com/course/edx-introduction-to-the-music-business-1486
Business Courses,"
                     Leadership Through Marketing
                   ",https://www.classcentral.com/course/leadership-marketing-4769
Business Courses,"
                     Exploring ​and ​Preparing ​your ​Data with BigQuery
                   ",https://www.classcentral.com/course/gcp-exploring-preparing-data-bigquery-9674
Business Courses,"
                     Visionary leadership, identity & motivation: Become a meaning maker
                   ",https://www.classcentral.com/course/visionary-leadership-meaning-maker-12168
Business Courses,"
                     Quantitative Techniques for Management
                   ",https://www.classcentral.com/course/swayam-quantitative-techniques-for-management-20268
Business Courses,"
                     International Business II
                   ",https://www.classcentral.com/course/globalbusiness2-2699
Business Courses,"
                     Arts and Culture Strategy
                   ",https://www.classcentral.com/course/artsculturestrategy-2678
Business Courses,"
                     Gestão para a Aprendizagem: Módulo Gestão Estratégica
                   ",https://www.classcentral.com/course/gap-2575
Business Courses,"
                     O Empreendedorismo e as Competências do Empreendedor
                   ",https://www.classcentral.com/course/empreendedorismo-2577
Business Courses,"
                     Digital Media and Marketing Strategies
                   ",https://www.classcentral.com/course/marketing-plan-2749
Business Courses,"
                     Alternative Approaches to Valuation and Investment
                   ",https://www.classcentral.com/course/valuation-3328
Business Courses,"
                     Corporate Financial Decision-Making for Value Creation
                   ",https://www.classcentral.com/course/valuecreation-3329
Business Courses,"
                     Financing and Investing in Infrastructure
                   ",https://www.classcentral.com/course/infrafinance-1380
Business Courses,"
                     Giving 2.0: The MOOC
                   ",https://www.classcentral.com/course/giving2-2481
Business Courses,"
                     Advertising and Society
                   ",https://www.classcentral.com/course/adsoc-2487
Business Courses,"
                     Leading Innovation in Arts and Culture
                   ",https://www.classcentral.com/course/innovationarts-2390
Business Courses,"
                     竞争策略（中文版）
                   ",https://www.classcentral.com/course/competitivestrategyzh-2848
Business Courses,"
                     Devenir entrepreneur du changement
                   ",https://www.classcentral.com/course/entrepchangement-2903
Business Courses,"
                     Créer et développer une startup technologique
                   ",https://www.classcentral.com/course/techstartup-2995
Business Courses,"
                     Leadership in 21st Century Organizations
                   ",https://www.classcentral.com/course/leadership21st-1411
Business Courses,"
                     Social Entrepreneurship
                   ",https://www.classcentral.com/course/socialentrepeneur-1413
Business Courses,"
                     Supply Chain Management: A Learning Perspective 
                   ",https://www.classcentral.com/course/supplychain-2065
Business Courses,"
                     Social Impact Strategy: Tools for Entrepreneurs and Innovators
                   ",https://www.classcentral.com/course/social-impact-2136
Business Courses,"
                     Food & Beverage Management
                   ",https://www.classcentral.com/course/food-beverage-management-3498
Business Courses,"
                     Surviving Disruptive Technologies (On Demand)
                   ",https://www.classcentral.com/course/surviving-disruptive-technologies-556
Business Courses,"
                     Financial Engineering and Risk Management Part II
                   ",https://www.classcentral.com/course/fe2-1015
Business Courses,"
                     Case studies in business analytics with ACCENTURE
                   ",https://www.classcentral.com/course/case-studies-business-analytics-accentur-4369
Business Courses,"
                     Foundations of marketing analytics
                   ",https://www.classcentral.com/course/foundations-marketing-analytics-4370
Business Courses,"
                     The fundamentals of hotel distribution
                   ",https://www.classcentral.com/course/fundamentalsofhoteldistribution-4300
Business Courses,"
                     The Fundamentals of Revenue Management: The Cornerstone of Revenue Strategy
                   ",https://www.classcentral.com/course/fundamentals-of-revenue-management-4301
Business Courses,"
                     Strategy Implementation
                   ",https://www.classcentral.com/course/strategy-implementation-4330
Business Courses,"
                     Strategic Planning and Execution
                   ",https://www.classcentral.com/course/strategic-planning-execution-4311
Business Courses,"
                     Capstone - Launch Your Own Business!
                   ",https://www.classcentral.com/course/start-your-own-business-project-5573
Business Courses,"
                     快速学习
                   ",https://www.classcentral.com/course/kuaisu-xuexi-5575
Business Courses,"
                     Running Product Design Sprints
                   ",https://www.classcentral.com/course/running-design-sprints-5592
Business Courses,"
                     From Idea to Startup
                   ",https://www.classcentral.com/course/startup-entrepreneurship-from-idea-to-st-5498
Business Courses,"
                     Brand Management: Aligning Business, Brand and Behaviour
                   ",https://www.classcentral.com/course/brand-3929
Business Courses,"
                     Alternative Approaches to Valuation and Investment
                   ",https://www.classcentral.com/course/valuation-3328
Business Courses,"
                     Corporate Financial Decision-Making for Value Creation
                   ",https://www.classcentral.com/course/valuecreation-3329
Business Courses,"
                     Food & Beverage Management
                   ",https://www.classcentral.com/course/food-beverage-management-3498
Business Courses,"
                     «Ловцы человеков» или социальные сети в медиа, бизнесе, рекрутинге и образовании
                   ",https://www.classcentral.com/course/virtual-fishers-of-men-4448
Business Courses,"
                     真格—北大在线创业课堂
                   ",https://www.classcentral.com/course/zhenge-beida-zaixian-chuangye-5916
Business Courses,"
                     Leading Positive Change through Appreciative Inquiry
                   ",https://www.classcentral.com/course/appreciative-inquiry-5847
Business Courses,"
                     Strategic Innovation: Building and Sustaining Innovative Organizations
                   ",https://www.classcentral.com/course/strategic-innovation-building-and-sustai-8321
Business Courses,"
                     Sustainable Innovation for Subsistence Marketplaces
                   ",https://www.classcentral.com/course/subsistence-marketplaces-1-8323
Business Courses,"
                     Customer Value in Pricing Strategy
                   ",https://www.classcentral.com/course/uva-darden-bcg-pricing-strategy-customer-8351
Business Courses,"
                     Market and Competition in Pricing Strategy
                   ",https://www.classcentral.com/course/uva-darden-bcg-pricing-strategy-market-c-8352
Business Courses,"
                     Creating Innovation
                   ",https://www.classcentral.com/course/creating-innovation-8276
Business Courses,"
                     Introducción a las redes sociales. Sus objetivos y métricas. 
                   ",https://www.classcentral.com/course/intro-redes-sociales-4626
Business Courses,"
                     Fundamentos de Finanzas Empresariales 
                   ",https://www.classcentral.com/course/finanzas-empresariales-4633
Business Courses,"
                     Digital Marketing Capstone
                   ",https://www.classcentral.com/course/digital-marketing-capstone-5086
Business Courses,"
                     Marketing Management II
                   ",https://www.classcentral.com/course/marketing-management-two-6761
Business Courses,"
                     Financial Management Capstone
                   ",https://www.classcentral.com/course/financial-management-capstone-6764
Business Courses,"
                     Fundamentos del marketing mix
                   ",https://www.classcentral.com/course/fundamentos-marketing-mix-6819
Business Courses,"
                     Investigación de mercados y comportamiento del consumidor
                   ",https://www.classcentral.com/course/investigacion-de-mercados-6823
Business Courses,"
                     Data-driven Decision Making
                   ",https://www.classcentral.com/course/decision-making-6852
Business Courses,"
                     Supply Chain Operations
                   ",https://www.classcentral.com/course/operations-6925
Business Courses,"
                     Supply Chain Logistics
                   ",https://www.classcentral.com/course/supply-chain-logistics-6929
Business Courses,"
                     Supply Chain Management Strategy
                   ",https://www.classcentral.com/course/supply-chain-management-strategy-6935
Business Courses,"
                     Meaningful Marketing Insights
                   ",https://www.classcentral.com/course/meaningful-marketing-insights-6913
Business Courses,"
                     Managing Uncertainty in Marketing Analytics
                   ",https://www.classcentral.com/course/uncertainty-marketing-decisions-6914
Business Courses,"
                     Supply Chain Planning
                   ",https://www.classcentral.com/course/planning-6922
Business Courses,"
                     Accounting: Principles of Financial Accounting
                   ",https://www.classcentral.com/course/financial-accounting-6726
Business Courses,"
                     Capstone Project: Business Technology Management
                   ",https://www.classcentral.com/course/business-tech-project-7185
Business Courses,"
                     Accounting and Finance for IT professionals
                   ",https://www.classcentral.com/course/accounting-finance-7186
Business Courses,"
                     Oral Communication for Engineering Leaders
                   ",https://www.classcentral.com/course/oral-communication-7425
Business Courses,"
                     Finance for Non-Financial Managers
                   ",https://www.classcentral.com/course/finance-for-non-financial-managers-6948
Business Courses,"
                     Financial Analysis for Startups
                   ",https://www.classcentral.com/course/financial-ratios-6973
